"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"M345.0154T2684.7",345.015424623083,2684.6985,703795.376159996,744691.642961536,602322.945185184,508404.360115383,553315.795724136,600422.533615389,763241.946719996,611646.437769228,486979.557919997,458777.105178571,524993.430296295,644033.316807697
"M346.1308T3499.1",346.130767644841,3499.066,732502.016470583,890001.415000002,917425.206388885,952137.453157892,472769.83005,562731.599473683,994786.157647052,1435435.90200002,879991.735277774,751993.204315788,355132.53855,466886.449999996
"M347.1336T3499.4",347.133555659589,3499.3945,202822.159749998,236859.620000001,240054.653055554,247355.581052631,134452.883809524,150277.45365,271151.097882351,381682.125277782,238818.793157894,207879.78368421,101642.092190476,131434.959999999
"M348.1604T3497.2",348.160438700133,3497.1585,221323.833000003,202071.234999997,204324.223263157,187851.587263157,128782.8654,140879.9289,284864.7186,223959.324999998,150425.589888888,215002.2207,121967.757695652,176025.280000002
"M348.162T3287",348.162042921863,3287.0155,165830.902999999,183665.009888891,150844.995000002,134637.11694737,136452.455894736,167008.053263157,22601.9514878217,17421.5567355686,16138.8273654514,8383.03004150391,11539.4132486979,19319.333984375
"M351.1154T3499.4",351.115411831091,3499.3945,185786.686588234,191451.145,234594.071999998,186826.255126953,120076.846631579,105565.08968421,216720.878823528,242060.911833336,205668.513052631,152688.705338542,88486.8190526314,66543.8
"M352.1062T2789.3",352.106214288224,2789.325,265882.992947372,181651.115,227777.569136364,135104.090600586,116138.65,128637.698681819,269970.649565218,204617.523809521,251136.397826088,93027.6831298828,146512.79452174,125350.239999999
"M352.1518T3495.1",352.151769091188,3495.123,165714.372571429,354074.63235,161146.276571429,94089.4858886719,48234.3752000003,77757.6706499999,65660.2301513672,77334.0868652344,50596.6446261936,27340.7900390625,38068.5435424805,16094.7898530506
"M353.1278T3497.9",353.127765068609,3497.9115,223895.036722225,261258.573473688,205854.357166666,124798.5027,128120.89155,106673.072421052,245539.783333336,159550.185,120134.525222222,127073.726315789,114163.62,108292.97505
"M354.2T3611.9",354.200012207031,3611.89,1135610.95,904522.364526313,832780.319999991,532867.708842112,570306.90375,729939.965999998,112167.158823531,154475.666111113,51277.2249999999,52098.932604338,11468.9308837891,8335.9423828125
"M355.1853T3608.9",355.18532801429,3608.863,334039.86,257216.861647061,222655.68,126090.440470587,154979.578222224,218179.85961111,46450.6259765625,139505.407555555,44183.1363932292,131022.088526315,30192.6254150391,36449.2690795898
"M356.2T3830.4",356.200012207031,3830.3855,1189376.08455,2242782.41178947,1535138.25094736,932580.305894734,1206594.76536844,823710.047368432,181130.138315792,521478.345000002,258986.269894736,237846.960842105,197582.429999999,246931.89555
"M357.2062T3831",357.206233035976,3830.958,328565.94735,567776.989789472,391437.15536842,254805.159,305032.22925,218120.799263161,51391.9258449389,148383.910000001,78767.5706343217,85015.8261311849,35079.5672607422,97795.0408691406
"M359.2T3701.2",359.200012207031,3701.2325,462141.392761905,616424.640772729,407618.335000002,285184.520944443,437009.1576,413134.2804,370926.01395,771634.200380953,272933.080842105,446149.144380953,382811.8092,521506.296380953
"M360.0252T2688.5",360.025182210862,2688.5105,9748523.95007995,10851568.5046155,8797145.08325924,8702183.13066665,7372829.19942853,9376844.92385183,10710925.3839999,9496878.38208006,7457843.56342856,8053174.83475862,7425235.49451847,9956697.08544001
"M361.1387T3168.1",361.138695915868,3168.1065,1170645.198,1498158.48700001,1046203.53066667,737098.285772729,690755.286818184,687633.816380953,1152980.0424,1279489.62186362,974223.545904763,778375.526863638,696882.684952382,648550.695619048
"M361.0531T2688.3",361.053138645882,2688.2635,2206508.13138461,2560830.27437036,2364088.7256,2322160.13866667,1625820.32355554,2088472.47230768,2461531.84383999,2144658.74304001,1938517.95013334,1912069.57165715,1753050.83946666,2204020.80864
"M362.0584T2687.4",362.058423208725,2687.411,770409.316173906,934352.596434786,641678.300458329,632941.445555561,600784.374249996,605451.080000003,704809.468695646,658928.806227274,491933.697374997,514541.882482759,568139.948479997,586544.850916667
"M362.1253T3168.1",362.125296840184,3168.054,312079.1991,343880.54805,307965.840045455,216211.697021484,78704.0216470583,244520.044708335,292404.155999999,364509.212727269,296741.986045455,251609.305958335,212262.723214286,217405.324956523
"M363.1568T3261.3",363.156814864536,3261.31,405917.61336842,390905.073263157,306254.4552,189293.2221,178701.912380953,165307.23345,430759.587894736,485668.14795,269878.7574,208853.849904762,184987.695000001,165467.711310136
"M364.2T3715.3",364.200012207031,3715.308,382350.35655556,233404.075263161,217897.202687498,55527.3819580078,187667.23905,160307.879294117,371077.150000002,308697.815000001,155474.925,125466.05,9513.84160907452,7497.12554931641
"M365T2686",365,2686.001,12540961.9885714,13086927.3322667,11725804.6293334,7176350.08193936,9905615.66109091,8655442.52159993,13169757.888,10032806.1351724,8963502.49275003,6327210.04412119,8737740.73238712,8426676.80129039
"M365.1784T3392.7",365.17838872013,3392.748,372091.887391306,358191.491227274,358265.56845,208369.265999998,166786.861938477,178104.497140067,381820.099125002,455203.598347828,317859.043047619,218376.887181819,178224.848409091,162129.227887835
"M366T2685.9",366,2685.943,2864111.74041378,2952706.01703227,2484968.45832259,1546876.71483871,2118036.4905,1929729.09733332,2914143.2096,2259649.11013334,2003961.26400001,1404628.31174999,1879524.96666667,1802965.95306668
"M366.1053T2789.9",366.10528678965,2789.8945,652282.58273685,553363.1901,747021.662545456,818030.943130438,942350.69672727,771053.994899999,722235.730105272,532891.18305263,702447.949304351,868236.678079996,810665.234000002,884880.735000005
"M366.2048T3842.2",366.204760696495,3842.1905,428862.871684209,545334.079578946,416711.84172222,278174.089578947,281201.17065,231209.970000001,544398.788833331,466799.453611109,386455.205833332,318069.292842109,279764.54655,249253.396499999
"M367.2T3528.2",367.200012207031,3528.1765,2734570.63266665,2693665.4976,2455930.08834784,1617637.17527273,1607496.26981819,1598231.7389091,2784614.70591999,3238645.75776,2423942.37704349,1712150.07234783,1657051.08313044,1517655.35927273
"M368.2T3528.2",368.200012207031,3528.1765,841651.137599996,730786.341600001,636622.748086959,457324.643833336,441341.213478263,438156.526956523,866902.619423074,887056.302153848,637453.740000003,466716.983478263,436644.227545456,401560.018695654
"M372.2T3282.2",372.200012207031,3282.155,36499.4311908923,5201100.80430768,3894763.17394285,3037266.13622858,2934672.46500002,2365565.97733335,13476.6231689453,3457744.20654547,3646832.88496552,3227975.36506667,97918.9199999993,2606604.10226088
"M373.1889T3271.9",373.188871986092,3271.93,37902.9501065341,1170804.48141177,1009312.48438889,739726.507303031,703978.476782611,575113.410240004,37197.2446607507,822775.278321428,845697.310214285,789026.458966668,825939.566357147,105370.371750001
"M376.2T3686.3",376.200012207031,3686.332,162499.439894736,219938.407619048,20308.0128173828,131973.329944444,141468.112210526,148533.849578947,115815.278555557,322572.679619048,25877.1746897978,165280.880761905,122884.362210526,193350.13409091
"M376.1857T3459.7",376.185740728504,3459.74,185802.723999999,178779.587368421,140389.601166666,95461.789473684,60333.7698296441,88793.5487368419,20430.6397162543,24657.7887641059,16599.8870391846,6121.1602608817,9672.18876139323,4947.62022569444
"M377.0453T3074.9",377.045265498656,3074.877,94719.8274444455,125213.21445,94550.813444444,52058.0927734375,85111.6179090911,66383.2397647066,92796.5107222233,92967.2633684208,65916.8872941172,37110.3056030273,58959.7414981618,45675.8308124996
"M379.1288T3327",379.128802419034,3326.9605,606273.861176477,1073198.75,1271171.50838888,1839451.65642105,1075704.37635,1466693.7128421,798946.392388898,777467.417578945,1171788.14649999,1529429.32294739,740580.850285715,1523458.64000001
"M380.1T3154.1",380.100006103516,3154.051,351524.386366102,1911798.7311111,1717570.34622221,1756725.2328,1765811.49305265,2609852.5285,1074832.19282758,1434540.75377777,1563407.46021052,1610769.02736842,1355144.26442105,2022633.25155555
"M381.1052T3154",381.105206321437,3153.966,73908.0230577257,412013.018117651,365480.255444443,390842.162285715,371351.680350005,398323.5936,80672.2485758464,314270.578388887,343710.955473683,333494.979052631,302289.928526315,445468.648892857
"M382.1089T3244.9",382.108878723042,3244.896,339224.017354329,1242416.70553846,1084915.21824,944606.182999999,846849.934719996,1212011.09309302,544489.261970586,1016638.70495999,920957.342481485,883904.547076925,794106.697571428,881742.631764707
"M382.2025T3787.7",382.202515776156,3787.7025,710639.895000002,580437.413999998,433480.221444442,286404.147789477,317220.05985,323722.842833332,102300.919999999,94799.8749999999,91501.247366769,23967.7560424805,22195.1153320312,13452.1118164062
"M385.1347T3177.4",385.134652347896,3177.395,1137379.05585,1228016.54433334,1151942.66819048,903258.899590911,877203.971363639,760969.049904763,1245689.57561905,1413865.61828572,1123948.8,896498.295954548,808884.315727275,856576.685714287
"M386.1474T3177.4",386.147360375649,3177.429,325325.430857143,269560.619263161,312436.483047619,275222.643652172,226770.837182617,221569.394454546,345949.41195,397554.792909092,313348.850285715,243353.225142857,186412.14915,242389.549727273
"M389.1913T3353.1",389.191256135038,3353.081,1199783.26247619,1140158.58877272,1008373.96755,673382.3355,659322.262857144,724902.054449999,1231191.85676191,1357790.24457143,959959.109399999,677888.857904762,648895.56285,642441.70905
"M390.188T3352.4",390.187964545076,3352.3655,348186.255238096,335515.299863633,282058.76325,188020.91775,181618.983619048,216997.53195,345712.06552381,389364.847238096,279306.0162,203101.084952381,194945.8215,193556.440380953
"M391.1249T3615",391.124919217445,3614.9505,6899364.31244452,7039984.5945263,4933377.64294736,2162710.8216,2159509.08952381,3583241.21010531,9246372.59031577,5176181.16000002,5942055.07957893,2106209.8668,2644093.46438095,4596621.21840006
"M392.1336T3615.6",392.133632035849,3615.563,1832399.7097778,1878963.44757894,1330574.59073684,610131.75135,566597.97225,973222.060650013,2482519.82905263,1410152.64000001,1584953.65557894,554438.31075,709070.534095239,1209064.72050002
"M393.1628T3621.7",393.162812324827,3621.668,399851.877368426,382029.020000002,273051.506666665,95326.2902367001,43350.9630237926,198823.767600003,431680.535333338,171663.092470587,328382.8482,86402.6573597301,114428.737777777,230953.75605
"M395.2T3702.1",395.200012207031,3702.068,420647.60535,421290.990521735,354284.247130436,75457.6216987942,146232.0579,158797.283047619,263984.711789477,702781.285043472,230011.65615,186350.810000001,177711.29752381,156146.469681819
"M396.1954T3327.7",396.195390115596,3327.714,212417.290588237,418476.315999999,493690.08165,794110.40325,372788.871619048,603055.04745,289612.708941179,297155.8359,428490.414210525,650558.01073685,264918.504999998,614589.585000004
"M398.2T3329.3",398.200012207031,3329.338,14990.4297049386,11278.4579655172,91866.815135035,1376143.44,1441434.45786667,1130981.79972414,28052.8728869208,2069349.49174468,1716650.13046155,1641655.02857143,1422532.59085715,1186504.83970371
"M398.3T4060",398.300018310547,4060.012,302032.712833332,199444.344722221,99237.0843353271,56563.1009999995,100635.107294117,92674.4450555566,3885.29265485491,15338.3451021635,14236.8735046387,14718.5422973633,0,2084.73628504136
"M399.1053T2798.5",399.105343249777,2798.53,517279.866555553,122451.86,264044.699999998,347198.380000001,108961.805348116,91370.3087660846,541969.995055553,103373.511499999,287810.497722226,341704.692947368,178355.78655,131298.838888888
"M400.1T2786.2",400.100006103516,2786.199,85572.139078776,229736.574476191,77698.2169596354,166283.376674107,59785.7112862723,28640.4114815848,158828.073368421,187919.741818182,293209.883636364,303195.027499998,247167.668086957,52709.8400297619
"M404.0893T2690.7",404.089279257838,2690.6925,299182.047321428,215939.62575,128681.339428572,165838.619941406,200954.042785715,322108.774107143,314592.250642857,255091.583275864,157515.3474,123534.382873535,231130.250300481,260515.15140625
"M408.1715T3440.6",408.171452275976,3440.63,108910.260374999,573379.772952382,853918.232489794,233681.4639,270934.486010742,231425.981789473,268866.145086956,597722.607238096,751128.358897962,146992.376421052,236742.739514803,245023.809473684
"M410.2658T3940.7",410.265769844757,3940.722,980012.029555551,1319875.61499999,1375014.96194446,949318.774166662,899985.582105275,799401.791222231,137450.635499999,203674.389555555,223544.906842105,170066.696949678,95536.9471435547,117574.963989258
"M411.2339T3940.1",411.233919541902,3940.146,304741.631666665,426745.765000001,437071.768944449,304811.058736841,285571.595789477,275335.275052631,15555.3791503906,20997.0591107537,89844.978515625,77637.6640625,54218.0600011489,66297.3636474609
"M412.2905T4114.8",412.290464903296,4114.849,3412993.59866665,2118700.86484213,1679362.23547368,655969.59873685,781156.103944441,594736.338105271,486799.443611109,248349.443267822,156837.338731554,100092.983714384,75226.1810980903,143538.665771484
"M413.1079T3616.3",413.10791049177,3616.3375,778922.183619048,855168.641391303,665025.143999994,120558.373411764,156926.662315789,327900.843600005,389790.514285715,788643.537541671,676852.859428572,156450.918315791,282687.129272728,330997.879650005
"M413.269T4114.8",413.268989915107,4114.847,991447.078611106,626592.406736831,495456.716277775,202687.288315792,230747.928444443,186556.157226562,151907.275058822,80185.2854614258,53086.3847927517,30423.2506781684,27441.6379123264,38200.4235839844
